artists,album_name,track_name,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,artist_count
downstairs lantern,Linen Removal,Linen Removal,146235,False,0.69,0.43,10,-10.796,1,0.029,0.378,0.839,0.119,0.264,135.996,4,study,1
Jamie Jones;Vintage Culture,My Paradise (Vintage Culture Remix),My Paradise - Vintage Culture Remix,170645,False,0.683,0.892,6,-7.015,1,0.0563,0.0462,0.839,0.0973,0.467,128.008,4,minimal-techno,2
Михаил Вавич,Шорох патефонной иглы. Вечер старинного романса-2,Время изменится,197616,False,0.311,0.281,1,-11.205,1,0.103,0.991,0.0,0.303,0.289,58.228,3,romance,1
Trio Ayacucho,Como Siempre Con El Mayor Cariño,Adiós Pueblo De Ayacucho,224773,False,0.719,0.575,7,-5.976,1,0.0898,0.742,1.7e-05,0.072,0.775,172.228,4,guitar,1
KOHTA YAMAMOTO,Attack on Titan The Final Season Original Soundtrack,The Fall of Marley,198573,False,0.298,0.536,7,-10.784,0,0.0358,0.00849,0.901,0.247,0.128,132.107,3,anime,1
Ouse;Powfu,Crying in Camo,Too Many Problems,144570,False,0.727,0.438,0,-7.393,0,0.0546,0.423,2.83e-05,0.113,0.359,81.017,4,emo,2
Agoraphobic Nosebleed,Agorapocalypse,Timelord Two (Paradoxical Reaction),183373,False,0.352,0.859,1,-5.102,1,0.163,1.69e-05,0.538,0.262,0.386,177.914,3,grindcore,1
Seedhe Maut;DJ Sa,नalla Freestyle,नalla Freestyle,177316,True,0.876,0.47,0,-11.441,1,0.332,0.183,0.000214,0.143,0.583,132.926,5,indie,2
Opeth,Damnation,In My Time of Need,346733,False,0.471,0.604,4,-6.014,0,0.0286,0.00161,0.154,0.166,0.187,137.388,4,swedish,1
The Lemonheads,It's A Shame About Ray (Expanded Edition),My Drug Buddy - Demo Version,166786,False,0.594,0.207,2,-14.937,1,0.0335,0.862,0.0346,0.208,0.288,136.911,4,power-pop,1
Mike Dunn;Mr. 69,Phreaky MF,Phreaky MF - Mike Dunn's Phreak MixX,729147,True,0.927,0.809,10,-6.266,0,0.0802,0.000378,0.0158,0.068,0.501,117.531,4,chicago-house,2
Dean Martin,Holiday Anthems 2022,"Baby, It's Cold Outside",143733,False,0.439,0.196,0,-16.093,1,0.0601,0.88,0.0,0.0513,0.525,129.581,4,jazz,1
Robert Hood,The Pace,Wandering Endlessly,631703,False,0.78,0.415,0,-16.044,0,0.0463,0.625,0.862,0.117,0.516,126.275,3,detroit-techno,1
Wolfgang Amadeus Mozart;Karl-Heinz Steffens;Werner Mittelbach;Reinhold Helbich,Mozart - All Day Classics,"14 “Interval” Canons K. 508a/3-8 & K. Deest: Canons Nos. 11-14, K.508a/7-8 & K. Deest",90786,False,0.33,0.0423,3,-23.181,1,0.0496,0.99,0.868,0.108,0.284,86.81,4,classical,4
Agnes Chiang,新曲與精選,我為你狂,228813,False,0.484,0.297,4,-8.937,0,0.0252,0.579,1.99e-06,0.122,0.102,91.023,4,cantopop,1
Blvk Sheep,Insanity,Insanity,188499,False,0.708,0.575,11,-9.16,0,0.127,0.0314,0.0201,0.335,0.128,135.216,4,dubstep,1
Vijay Antony,Naan (Original Motion Picture Soundtrack),Thapellam Thapeillai Theme,266866,False,0.837,0.762,9,-6.02,0,0.048,0.267,6.76e-06,0.583,0.912,130.014,4,k-pop,1
Eisregen,Marschmusik,Gott der Panzer,326826,False,0.375,0.939,7,-5.123,1,0.0904,0.000363,0.000302,0.1,0.163,120.195,4,black-metal,1
Sexteto Mayor,Our Last Tango (Original Motion Picture Soundtrack),Jugando jugando,134333,False,0.512,0.393,2,-12.686,1,0.0635,0.802,1.42e-05,0.23,0.688,102.907,1,tango,1
Eisregen,Krebskollektion,Mein Eichensarg,304613,False,0.224,0.918,4,-6.678,0,0.131,9.23e-05,0.0,0.0837,0.108,90.086,4,death-metal,1
salem ilese,(MORE) Unsponsored Content,Hey Siri,140000,False,0.429,0.361,2,-11.757,1,0.0656,0.538,0.0,0.133,0.4,98.087,4,indie-pop,1
The Knocks;Rivers Cuomo;Royal & the Serpent,Am I Ready - Pop Night Out,Sound the Alarm,171587,False,0.688,0.788,5,-3.064,0,0.0436,0.0164,0.000306,0.541,0.774,101.006,4,house,3
Terrence Mann;Tuck Everlasting Original Broadway Cast Ensemble,Tuck Everlasting (Original Broadway Cast Recording),Everything's Golden,202946,False,0.488,0.618,1,-7.483,1,0.0446,0.473,0.0,0.3,0.77,143.222,3,show-tunes,2
NG Rezonance,Hard Trance Workout,Resurgence - Mix Edit,270857,False,0.462,0.947,6,-8.183,0,0.05,6.29e-05,0.89,0.176,0.135,140.003,4,trance,1
Nickel Creek,Reason's Why (The Very Best),Somebody More Like You,178933,False,0.628,0.345,4,-12.036,1,0.0304,0.71,0.0578,0.114,0.331,140.985,4,bluegrass,1
ClubDub,IKEA STELPAN,IKEA STELPAN,123576,False,0.847,0.639,6,-7.339,1,0.233,0.0901,0.00377,0.111,0.763,75.462,4,electronic,1
Mr.Children,B-SIDE,旅人,199013,False,0.439,0.925,9,-5.373,1,0.0454,0.00113,0.0,0.352,0.612,147.097,4,j-rock,1
Skrude,Hadean EP,Locust - VIP,153600,False,0.601,0.942,0,-2.765,1,0.328,0.00282,0.427,0.0951,0.224,150.035,4,dubstep,1
Four Tops,60s Christmas Party,"I Can't Help Myself (Sugar Pie, Honey Bunch)",163680,False,0.688,0.726,0,-4.85,1,0.0284,0.188,0.0,0.0624,0.964,126.813,4,funk,1
Ivan Rebroff,Best of Ivan Rebroff (18 Hits),Les deux guitares,216306,False,0.426,0.208,2,-14.852,0,0.039,0.984,0.0186,0.097,0.374,94.51,4,romance,1
サザンオールスターズ,素敵なバーディー(NO NO BIRDY),素敵なバーディー(NO NO BIRDY),311333,False,0.355,0.775,9,-5.956,0,0.0935,0.184,0.0,0.0674,0.448,90.458,4,j-pop,1
Diogo Nogueira;Chico Buarque;Hamilton De Holanda,Tô Fazendo A Minha Parte,Sou Eu,210546,False,0.749,0.672,2,-8.115,1,0.0544,0.638,3.99e-05,0.0962,0.853,94.084,4,samba,3
Jimmy Martin,Best Of The Best (Original Federal Recordings),Truck Drivin' Man - Original Federal Recordings,149186,False,0.609,0.518,7,-10.162,1,0.0327,0.155,4.22e-06,0.131,0.849,106.644,4,bluegrass,1
Unwritten Skies,Hopeful,Hopeful,162782,False,0.163,0.0094,2,-33.708,1,0.0354,0.987,0.874,0.104,0.138,72.478,3,sleep,1
Oliver Koletzki,The Arc of Tension,Spiritual but Not Religious,246706,False,0.671,0.497,0,-9.787,0,0.0552,0.171,0.536,0.101,0.114,95.005,4,techno,1
Gryffin;ZOHARA,Queda poco para la PAES,Remember,221693,False,0.619,0.901,11,-4.173,0,0.0563,0.0975,0.0457,0.178,0.501,123.004,4,house,2
Devil Master,Ecstasies Of Never Ending Night,Shrines in Cinder,229266,False,0.0803,0.94,7,-7.451,0,0.0951,4.04e-06,0.905,0.34,0.187,179.145,4,black-metal,1
Fall Out Boy;Demi Lovato,Irresistible,Irresistible,205851,False,0.504,0.889,2,-4.533,1,0.0737,0.0489,0.0,0.19,0.367,165.047,4,emo,2
Enrique Guzman,60 Aniversario En Vivo (En Vivo/Vol.1),Buen Viaje - En Vivo,189906,False,0.277,0.592,0,-4.444,1,0.0322,0.284,8.1e-05,0.839,0.23,111.743,4,rock-n-roll,1
Håkan Hellström,2 steg från paradise (Deluxe Version),Saknade te havs,224253,False,0.416,0.914,4,-5.119,1,0.041,0.0145,3.01e-05,0.126,0.322,140.121,4,goth,1
The Troggs,From Nowhere,Wild Thing,155333,False,0.453,0.658,9,-13.472,1,0.0539,0.741,0.0288,0.135,0.761,203.871,4,psych-rock,1
Ingrid Olsson,Apologize (Piano Arrangement),Apologize - Piano Arrangement,216600,False,0.614,0.0502,3,-23.896,1,0.0603,0.995,0.956,0.101,0.123,99.901,4,piano,1
obnoXIuz,Kanske Dags Att Tänka Om? (Produced by Hard 2 Handle),Kanske Dags Att Tänka Om? - Producerad av Hard 2 Handle,186540,False,0.663,0.612,10,-11.542,0,0.375,0.0611,0.0,0.34,0.824,175.849,4,goth,1
Patricio Rey y sus Redonditos de Ricota,Último Bondi a Finisterre,Scaramanzia,329200,False,0.509,0.561,11,-10.035,0,0.0259,0.0763,0.00323,0.286,0.749,174.011,4,punk-rock,1
Together Pangea,Bulls and Roosters,Better Find Out,103100,False,0.417,0.981,9,-3.58,1,0.134,2.81e-05,1.23e-06,0.155,0.227,99.253,4,garage,1
Nando Reis;Péricles,Vou Te Encontrar,Vou Te Encontrar,266641,False,0.595,0.486,7,-11.893,1,0.0266,0.32,0.0332,0.132,0.297,144.042,4,mpb,2
Alexis Ffrench,Truth - The Solo Piano Collection,Evermore - Solo Piano Version,169317,False,0.55,0.0502,2,-26.362,1,0.0462,0.995,0.886,0.0891,0.385,134.892,3,ambient,1
Péricles,"Tô Achando Que É Amor, Ep. 4",Mal Acostumado,198769,False,0.704,0.601,0,-6.532,0,0.0373,0.487,0.0,0.128,0.884,97.019,4,pagode,1
Joey Niceforo,Priceless,Solitaire,322560,False,0.23,0.26,1,-10.575,1,0.0339,0.538,0.0,0.115,0.165,116.226,4,opera,1
Clean Bandit;Jess Glynne,New Eyes,Rather Be (feat. Jess Glynne),227833,False,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,4,edm,2
FOVOS,Hypnos,Hypnos,171428,False,0.739,0.915,2,-6.656,1,0.06,0.00708,0.916,0.442,0.32,125.997,4,club,1
Krewella;Skan,Alibi & Runaway (Remixes),Runaway (SKAN Remix),172149,False,0.618,0.882,11,-4.673,0,0.0414,0.0521,0.0,0.165,0.388,106.995,4,dubstep,2
Tiësto;Charli XCX,For the Girls: Summer Hits,Hot in It,129817,False,0.748,0.841,7,-5.08,1,0.177,0.00445,1.33e-06,0.0413,0.717,123.045,4,trance,2
Anupam Roy,Piku,Bezubaan,341177,False,0.403,0.56,2,-7.46,1,0.0362,0.354,5.71e-06,0.125,0.168,155.701,4,indie,1
George Jones,The Grand Tour,The Grand Tour - Single Version,186786,False,0.436,0.184,10,-15.398,1,0.0288,0.895,0.000414,0.204,0.423,89.051,4,honky-tonk,1
BBS Paranoicos,Antídoto,La Rabia,173093,True,0.35,0.894,9,-4.587,0,0.0706,0.0204,0.0,0.138,0.46,167.321,4,punk-rock,1
TOOL,Fear Inoculum,Pneuma,713191,False,0.415,0.53,9,-9.338,0,0.0314,0.00209,0.75,0.11,0.0586,114.174,1,metal,1
Lucio Demare;Raúl Berón,Lucio Demare,Una Emoción,161373,False,0.59,0.299,4,-8.699,0,0.0476,0.827,0.000182,0.846,0.598,121.543,4,tango,2
Ilija Djokovic,Vega / Neon,Vega,201290,False,0.707,0.839,2,-8.239,1,0.0408,0.172,0.815,0.0986,0.231,123.983,4,techno,1
